,NUMERO_ORDRE,Exercice d’engagement,Date d’engagement,Rubrique budgétaire,Type d’engagement,Montant engagé,Fournisseur,type de dépense,Nature de prestation,Service bénéficiair,"type budget(I,F)"
3385,E06/2013/94100,2013,2013-12-26 00:00:00,Matériel de bureau,Engagement,49122.0,REPER,Bon de commandes,Acquisition du Matériels de Bureau,Direction régionale FES-SAISS (DRFS),Investissement
3386,4178/2013,2013,2013-12-25 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3358.2,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
3387,4335/2013,2013,2013-12-27 00:00:00,Agencements et aménagements des constructions,Engagement,192000.0,INGENIOS,Marché Travaux,Etudes,Siege,Investissement
3388,2239/2014,2014,2014-07-23 00:00:00,Achat de fournitures de bureau,Engagement,307.2,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
3389,804/2013/94100,2013,2013-12-31 00:00:00,Documentation générale									,Engagement,1239.0,AHRIM BOUBKER,Bon de commandes,documentation générale,Direction régionale FES-SAISS (DRFS),Investissement
3390,799/2013/94100,2013,2013-12-31 00:00:00,Achat de fournitures de bureau,Engagement,128820.0,WADILIV SARL,Marché Fournitures,Acquisition de fournitures de bureau,Direction régionale FES-SAISS (DRFS),Investissement
3391,4276/2013,2013,2013-12-19 00:00:00,Achat de fournitures de bureau,Engagement,2820.0, STE BUREAUTIQUE FARIRE,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale CHAOUIA TADLA (DRCT),Investissement
3392,4322/2013,2013,2013-12-24 00:00:00,Achat de petit outillage et de petit équipement,Engagement,3150.0,Sté Ibn Batouta Décor sarl,Bon de commandes,Service,Direction régionale TANGER TETOUAN (DRTT),Investissement
3393,4346/2013,2013,2013-10-30 00:00:00,Installations techniques,Engagement,4723117.2,FINATECH GROUP,Marché Fournitures,Acquisition du Matériels de Bureau,Siege,Investissement
3394,53/2014,2014,2014-01-22 00:00:00,Achat de fournitures de bureau,Engagement,42.0,AMAY BURO,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
3395,017/95100/2014,2014,2014-03-05 00:00:00,Achat de fournitures de bureau,Engagement,4200.0,WORLD VIDEO DISTRIBUTION,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale MEKNES TAFILALT (DRMT),Investissement
3396,DRRS 540/91100/2013,2013,2013-12-11 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1200.38,SOCIETE AL YOUSR,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale RABAT SALE (DRRS),Investissement
3397,2443/2014,2014,2014-08-22 00:00:00,"Achats de travaux, études et prestations de service",Engagement,141360.0,COOR,Marché Services,Travaux d'impression,Siege,Investissement
3398,637/2014,2014,2014-03-24 00:00:00,Primes de publicité									,Engagement,306000.0,RADIO MFM  TV,Bon de commandes,Service,Siege,Investissement
3399,667/2014,2014,2014-03-26 00:00:00,Achats de combustibles,Engagement,61005.08,STE VIVO ENERGY MAROC S. A  (EX SHELL),Bon de commandes,Achat de combustibles,Siege,Investissement
3400,4321/2013,2013,2013-12-25 00:00:00,"Achats de travaux, études et prestations de service",Engagement,13080.0,DISKROM SARL,Bon de commandes,Service,Direction régionale TANGER TETOUAN (DRTT),Investissement
3401,703/2014,2014,2014-03-27 00:00:00,Achat de fournitures de bureau,Engagement,3000.0,VOLK IMPRIMERIE,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale TANGER TETOUAN (DRTT),Investissement
3402,2110/2014,2014,2014-07-11 00:00:00,Achat de fournitures d'entretien,Engagement,15234.0,TOP QUINCAILLERIE,Bon de commandes,Acquisition de fournitures sanitaires,Siege,Investissement
3403,2233/2014,2014,2014-07-23 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3476.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
3404,4398/2013,2013,2013-12-31 00:00:00,Achat de fournitures de bureau,Engagement,4000.0, STE BUREAUTIQUE FARIRE,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale CHAOUIA TADLA (DRCT),Investissement
3405,4566/2013,2013,2014-02-05 00:00:00,Documentation générale									,Engagement,18956.0,PAPETERIE MOURAI,Bon de commandes,documentation générale,Siege,Investissement
3406,938/2015,2015,2015-02-19 00:00:00,Achats de combustibles,Engagement,6500.0,STE VIVO ENERGY MAROC S. A  (EX SHELL),Bon de commandes,Achat de combustibles,Direction régionale RABAT SALE (DRRS),Investissement
3407,304/2015,2015,2015-02-02 00:00:00,Documentation générale									,Engagement,903.0,LIBRAIRIE EL RAZI SETTAT,Bon de commandes,Documentation générale,Direction régionale CHAOUIA TADLA (DRCT),Investissement
3408,1030/2015,2015,2015-01-07 00:00:00,"Achats de travaux, études et prestations de service",Engagement,608313.6,STE IKRAM SERVICE NET Narimane,Marché Services,Service,Direction régionale CASA ANFA (DRCA),Investissement
3409,2225/2015,2015,2015-06-16 00:00:00,Achat de fournitures de bureau,Engagement,84474.0,CARREFOUR TECHNOLOGIE,Marché Fournitures,ACQUISITION DE FOURNITURES DE BUREAU ET FOURNITURES INFORMATIQUESS,Siege,Investissement
3410,2226/2015,2015,2015-06-16 00:00:00,Achat de fournitures de bureau,Engagement,65766.0,CARREFOUR TECHNOLOGIE,Marché Fournitures,ACQUISITION DE FOURNITURES DE BUREAU ET FOURNITURES INFORMATIQUESS,Siege,Investissement
3411,4781/2014,2014,2015-01-13 00:00:00,Réception & participation aux manifestations officielles									,Engagement,4470.0,LABO PHOTO SAOUID,Bon de commandes,Service,Siege,Investissement
3412,642/2015,2015,2015-03-16 00:00:00,Réception & participation aux manifestations officielles									,Engagement,2640.0, STE AFRAH BENLAFKIH,Contrat Droit Commun,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
3413,652/2015,2015,2015-01-31 00:00:00,Documentation générale									,Engagement,324.0,PAPETERIE TABACS LA RUCHE,Bon de commandes,Documentation générale,Direction régionale RABAT SALE (DRRS),Investissement
3414,5135/2014,2014,2014-12-31 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,470.0,HOTEL CLUB VAL D'ANFA,Bon de commandes,Réception et participation aux manifestations officielles,Pôle des Unités Médicales,Investissement
3415,812/2015,2015,2015-03-23 00:00:00,Achats de combustibles,Engagement,9833.32,STE VIVO ENERGY MAROC S. A  (EX SHELL),Bon de commandes,Achat de combustibles,Direction régionale KENITRA KHEMISSET (DRKK),Investissement
3416,1186/2015,2015,2015-04-24 00:00:00,Maintenance des agencements & installations techniques									,Engagement,2160.0,MED PLO,Bon de commandes,Maintenance,Direction régionale TANGER TETOUAN (DRTT),Investissement
3417,1188/2015,2015,2015-04-24 00:00:00,Maintenance des agencements & installations techniques									,Engagement,1800.0,MED PLO,Bon de commandes,Maintenance,Direction régionale TANGER TETOUAN (DRTT),Investissement
3418,5110/2014,2014,2014-12-19 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,4507.13,RENAULT COMMERCE MAROC,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale CASA ANFA (DRCA),Investissement
3419,3965/2014,2014,2014-12-04 00:00:00,Achat de fournitures de bureau,Engagement,662.4,LA COMPAGNIE MAROCAINE DU STREET MARKETING,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
3420,4099/2014,2014,2014-12-11 00:00:00,Installations techniques,Engagement,853968.0,ITECHIA TECHNOLOGY,Marché Fournitures,"installation technique,materiel et outillage",Siege,Investissement
3421,4728/2014,2014,2014-12-25 00:00:00,Installations techniques,Engagement,1408680.0,SAMIEN,Marché Travaux,"installation technique,materiel et outillage",Siege,Investissement
3422,E3/2014/94100,2014,2014-04-28 00:00:00,Droits d'enregistrements et de timbres									,Engagement,100.0,POWER SERVICE SARL ,Bon de commandes,Acquisition de fournitures électriques,Direction des moyens generaux,Investissement
3423,E3/2014/94100,2014,2014-04-28 00:00:00,Frais postaux									,Engagement,200.0,POWER SERVICE SARL ,Bon de commandes,Acquisition de fournitures électriques,Direction des moyens generaux,Investissement
3424,E3/2014/94100,2014,2014-04-28 00:00:00,Achat de fournitures de bureau,Engagement,300.0,POWER SERVICE SARL ,Bon de commandes,Acquisition de fournitures électriques,Direction des moyens generaux,Investissement
3425,E4/2014/94100,2014,2014-04-28 00:00:00,Droits d'enregistrements et de timbres									,Engagement,100.0,GROUPEMENT TELIO MAROC & INGENIUS,Marché Services,Acquisition et mise en n'oeuvre d'une  solution informatique,Direction de l'Audit et du Contrôle de Gestion,Investissement
3426,E4/2014/94100,2014,2014-04-28 00:00:00,Frais postaux									,Engagement,200.0,GROUPEMENT TELIO MAROC & INGENIUS,Marché Services,Acquisition et mise en n'oeuvre d'une  solution informatique,Direction de l'Audit et du Contrôle de Gestion,Investissement
3427,4866/2014,2014,2014-12-18 00:00:00,"Achats de travaux, études et prestations de service",Engagement,390825.0,ARCHOS TECHNOLOGY,Marché Services,Service,Siege,Investissement
3428,4725/2014,2014,2014-12-24 00:00:00,Installations techniques,Engagement,957600.0,ASTUR MAROC,Marché Travaux,"installation technique,materiel et outillage",Siege,Investissement
3429,4783/2014,2014,2014-08-28 00:00:00,Achat de fournitures de bureau,Engagement,192000.0,SIPAMA,Marché Fournitures,Acquisition de fournitures de bureau,Siege,Investissement
3430,3562/2014,2014,2014-11-10 00:00:00,Maintenance des agencements & installations techniques									,Engagement,19938.0,MAX AFFAIRE S.A.R.L,Bon de commandes,Service,Direction régionale TANGER TETOUAN (DRTT),Investissement
3431,E1/2014/94100,2014,2014-04-28 00:00:00,Droits d'enregistrements et de timbres									,Engagement,100.0,CARREFOUR TECHNOLOGIE,Marché Fournitures,Acquisition du consommable informatique et bureautique,POLYCLINIQUE AGADIR,Investissement
3432,E1/2014/94100,2014,2014-04-28 00:00:00,Achat de fournitures d'entretien,Engagement,300.0,CARREFOUR TECHNOLOGIE,Marché Fournitures,Acquisition du consommable informatique et bureautique,Direction des moyens generaux,Investissement
3433,3657/2014,2014,2014-11-12 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,1440.0, STE BUREAUTIQUE FARIRE,Bon de commandes,Entretien et réparations des biens immobiliers ,Direction régionale CHAOUIA TADLA (DRCT),Investissement
3434,4924/2014,2014,2014-10-09 00:00:00,Formation									,Engagement,61144.67,EITIA CONSULTING SARL,Marché Services,Formation,Siege,Investissement
3435,4862/2014,2014,2014-12-01 00:00:00,Achat de fournitures de bureau,Engagement,552000.0,GRAPHIPRIM,Marché Fournitures,Acquisition de fournitures de bureau,Siege,Investissement
3436,509/2014/94100,2014,2014-09-17 00:00:00,Maintenance des agencements & installations techniques									,Engagement,11141.59,STE SOCOBANO,Bon de commandes,"Installations techniques, Matériel et Outillage",Direction régionale FES-SAISS (DRFS),Investissement
3437,684/2014/94100,2014,2014-11-24 00:00:00,Maintenance des agencements & installations techniques									,Engagement,3600.0,STE DELTA SAL,Bon de commandes,Maintenance,Direction régionale FES-SAISS (DRFS),Investissement
3438,4252/2014,2014,2014-12-17 00:00:00,Réception & participation aux manifestations officielles									,Engagement,2662.0, STE AFRAH BENLAFKIH,Contrat Droit Commun,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
3439,5594/2014,2014,2014-12-31 00:00:00,Agencements et aménagements des constructions,Engagement,7860159.6,BELECTRABAT,Marché Travaux,Travaux,Siege,Investissement
3440,3029/2014,2014,2014-09-01 00:00:00,Documentation générale									,Engagement,766.0,LIBRAIRIE EL RAZI SETTAT,Bon de commandes,Documentation générale,Direction régionale CHAOUIA TADLA (DRCT),Investissement
3441,3081/2014,2014,2014-10-16 00:00:00,Achat de fournitures de bureau,Engagement,529500.0,MICROPA,Marché Fournitures,Acquisition de fournitures de bureau,Siege,Investissement
3442,3925/2014,2014,2014-12-01 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3386.8,EL ASRY BRAHIM,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
3443,7180/2015,2015,2015-12-31 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3080.0,TIZI OUSLI TRADING,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale AIN SEBAA HAY MOHAMMADI (DRASHM),Investissement
3444,4274/2015,2015,2015-08-18 00:00:00,Réception & participation aux manifestations officielles									,Engagement,15396.0,HOTEL FARAH CASABLANCA,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
3445,ENG BC 2200/2016/98100,2016,2016-02-09 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,5904.0,OLI-SUD SA,Bon de commandes,Service,Direction régionale AGADIR (DRAG),Investissement
3446,ENG D 5/98100/2015,2015,2015-09-15 00:00:00,Réception & participation aux manifestations officielles									,Engagement,379.0,HOTEL CLUB VAL D'ANFA,Bon de commandes,Réception et participation aux manifestations officielles,Direction des moyens generaux,Investissement
3447,5279/2015,2015,2015-11-09 00:00:00,"Achats de travaux, études et prestations de service",Engagement,7240.0,LABO PHOTO SAOUID,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
3448,5271/2015,2015,2015-11-09 00:00:00,Documentation générale									,Engagement,16669.0,PAPETERIE MOURAI,Bon de commandes,documentation générale,Siege,Investissement
3449,3756/2015,2015,2015-07-07 00:00:00,"Achats de travaux, études et prestations de service",Engagement,180000.0,ACTUARIA GLOBAL,Marché Services,Service,Siege,Investissement
3450,6091/2015,2015,2015-12-08 00:00:00,"Autres installations techniques, matériel et outillage",Engagement,79970.0,LE MONDE DU JARDIN,Bon de commandes,"installation technique,materiel et outillage",Siege,Investissement
3451,5755/2015,2015,2015-11-25 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3998.5, STE AFRAH BENLAFKIH,Contrat Droit Commun,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
3452,ENG BC 2199/2016/98100,2016,2016-02-11 00:00:00,Maintenance des agencements & installations techniques									,Engagement,8090.4,SOUSS FOURNITURES ET BOUBINAGE INDUSTRIELLES,Bon de commandes,Service,Direction régionale AGADIR (DRAG),Investissement
3453,5671/2015,2015,2015-11-23 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,2976.0,STE RABAT INCENDIE,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale KENITRA KHEMISSET (DRKK),Investissement
3454,4249/2015,2015,2015-09-22 00:00:00,"Achats de travaux, études et prestations de service",Engagement,36000.0,PROSYSTEME SARL,Contrat Droit Commun,Service,Siege,Investissement
3455,ENG AOO 004/2015/98100,2015,2015-09-29 00:00:00,Matériel de bureau,Engagement,64596.0,FIRST-MICRO,Marché Fournitures,Acquisition du Matériels de Bureau,Direction régionale AGADIR (DRAG),Investissement
3456,4224/2015,2015,2015-09-21 00:00:00,Achat de fournitures de bureau,Engagement,201600.0,SOLPRINT ,Marché Fournitures,ACQUISITION DE FOURNITURES DE BUREAU ET FOURNITURES INFORMATIQUESS,Siege,Investissement
3457,5494/2015,2015,2015-11-05 00:00:00,Achat de fournitures informatiques,Engagement,63000.0,TA BURO SARL,Bon de commandes,Acquisition de fournitures informatiques,Direction régionale CASA ANFA (DRCA),Investissement
3458,7603/2015,2015,2015-12-31 00:00:00,Autres constructions,Engagement,594722.4,SIGMA TECHNIQUE D¿ETANCHIETE,Marché Travaux,"installation technique,materiel et outillage",Siege,Investissement
3459,4267/2015,2015,2015-08-18 00:00:00,Réception & participation aux manifestations officielles									,Engagement,5900.0,TOP CLASS ESPRESSO,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
3460,4273/2015,2015,2015-09-23 00:00:00,"Achats de travaux, études et prestations de service",Engagement,36000.0,NEOXIA MAROC,Contrat Droit Commun,Service,Siege,Investissement
3461,4614/2015,2015,2015-10-08 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3085.5, STE AFRAH BENLAFKIH,Contrat Droit Commun,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
3462,3748/2015,2015,2015-08-31 00:00:00,Etudes générales									,Engagement,2760.0,STE  MILEC SARL,Bon de commandes,Service,Direction régionale TANGER TETOUAN (DRTT),Investissement
3463,4899/2015,2015,2015-10-26 00:00:00,"Achats de travaux, études et prestations de service",Engagement,539059.81,United Strong Service,Marché Services,Service,Siege,Investissement
3464,3795/2015,2015,2015-09-03 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,3355.2,SCHIP,Bon de commandes,Entretien et réparation des biens mobiliers,Siege,Investissement
3465,3914/2015,2015,2015-09-09 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3517.6,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
3466,ENG 4/98100/2016,2016,2016-01-18 00:00:00,Voyage et déplacement									,Engagement,4000.0,STE NATIONALE DES AUTOROUTES DU MAROC,Bon de commandes,Service,Direction régionale AGADIR (DRAG),Investissement
3467,4011/2015,2015,2015-09-11 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3256.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
3468,3753/2015,2015,2015-08-31 00:00:00,Maintenance des agencements & installations techniques									,Engagement,3024.0,MED PLO,Bon de commandes,Maintenance,Direction régionale TANGER TETOUAN (DRTT),Investissement
3469,ENG BC 2201-2202-2203/2016/98100,2016,2016-02-09 00:00:00,Maintenance des agencements & installations techniques									,Engagement,10122.0,SUD-EXTINCTEURS,Bon de commandes,Service,Direction régionale AGADIR (DRAG),Investissement
3470,2843/2015,2015,2015-07-10 00:00:00,Maintenance des agencements & installations techniques									,Engagement,18660.0,COPY STAR NOUR SARL,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale CHAOUIA TADLA (DRCT),Investissement
3471,5347/2015,2015,2015-11-10 00:00:00,Matériel informatique,Engagement,81480.0,BESTMARK,Bon de commandes,Acquisition de fournitures informatiques,Siege,Investissement
3472,2516/2015,2015,2015-06-29 00:00:00,Installations techniques,Engagement,39600.0,M .R .S TRAVAUX S .A .R .L,Bon de commandes,Acquisition Matriel Technique,Direction régionale AIN SEBAA HAY MOHAMMADI (DRASHM),Investissement
3473,ENG D 03/98116/98100/2015,2015,2015-06-29 00:00:00,Achat de fournitures de bureau,Engagement,300.0,BUROPA,Marché Fournitures,Acquisition de fournitures de bureau,Direction des moyens generaux,Investissement
3474,BC 20496/91100/2014,2014,2014-07-09 00:00:00,Réception & participation aux manifestations officielles									,Engagement,650.0,PALFO SARL,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale RABAT SALE (DRRS),Investissement
3475,DIB132/2015/90300,2015,2015-04-28 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,3328.74,ITALCAR,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale SIDI OTHMANE HAY HASSANI (DRSOHH),Investissement
3476,ENG D 01/98118/98100/2015,2015,2015-03-25 00:00:00,Frais postaux									,Engagement,200.0,TA BURO SARL,Marché Travaux,Acquisition d'équipements informatiques,Direction du Système D'information,Investissement
3477,ENG D 01/98118/98100/2015,2015,2015-03-25 00:00:00,Achat de fournitures de bureau,Engagement,300.0,TA BURO SARL,Marché Travaux,Acquisition d'équipements informatiques,Direction du Système D'information,Investissement
3478,ENG D 01/98117/98100/2015,2015,2015-03-25 00:00:00,Achat de fournitures d'entretien,Engagement,200.0,WINCOR NIXDORF,Marché Travaux,Acquisition d'équipements informatiques,Direction du Système D'information,Investissement
3479,ENG D 01/98119/98100/2015,2015,2015-03-25 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,700.0,DESKTOP,Marché Travaux,Acquisition d'équipements informatiques,Direction du Système D'information,Investissement
3480,ENG D 01/98119/98100/2015,2015,2015-03-25 00:00:00,Achat de fournitures d'entretien,Engagement,200.0,DESKTOP,Marché Travaux,Acquisition d'équipements informatiques,Direction du Système D'information,Investissement
3481,ENG D 02/98114/98100/2015,2015,2015-05-19 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,699.99,PUBLIDAY MULTIDIA,Marché Fournitures,Acquisition de fournitures de bureau,Direction de la Stratégie,Investissement
3482,ENG D 04/98100/2015,2015,2015-07-09 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,189.0,TA BURO SARL,Marché Fournitures,Acquisition de fournitures de bureau,Direction des moyens generaux,Investissement
3483,ENG D 02/98116/98100/2015,2015,2015-05-19 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,792.0,CLEANING EQUIPEMENT SERVICE,Bon de commandes,"Installations techniques, Matériel et Outillage",Centre des Oeuvres Sociales.,Investissement
3484,5865/2014,2014,2014-12-24 00:00:00,Matériel de bureau,Engagement,5544.0,SOS ELECTROMENAGER,Bon de commandes,"installation technique,materiel et outillage",Direction régionale AIN SEBAA HAY MOHAMMADI (DRASHM),Investissement
3485,1361/2015,2015,2015-04-28 00:00:00,Frais postaux									,Engagement,200.0,HOTEL ROYAL MANSOUR MERIDIEN,Bon de commandes,Réception et participation aux manifestations officielles,Direction des moyens generaux,Investissement
3486,1362/2015,2015,2015-04-28 00:00:00,Réception & participation aux manifestations officielles									,Engagement,400.0,HOTEL ROYAL MANSOUR MERIDIEN,Bon de commandes,Réception et participation aux manifestations officielles,Direction des moyens generaux,Investissement
3487,1364/2015,2015,2015-04-28 00:00:00,Droits d'enregistrements et de timbres									,Engagement,100.0,ACATEC,Bon de commandes,Travaux,EX (Direction Régionale Pôle Grand Casablanca),Investissement
3488,4599/2015,2015,2015-10-07 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3256.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
3489,4616/2015,2015,2015-10-08 00:00:00,"Achats de travaux, études et prestations de service",Engagement,141600.0,MAPPING ENGINEERING,Marché Services,Service,Direction des achats et de la logistique (DAL),Investissement
3490,BC 20409/91100/2014,2014,2014-09-05 00:00:00,Achats de combustibles,Engagement,4500.0,STE VIVO ENERGY MAROC S. A  (EX SHELL),Bon de commandes,Achat de combustibles,Direction régionale RABAT SALE (DRRS),Investissement
3491,2815/2015,2015,2015-07-09 00:00:00,Achat de fournitures de bureau,Engagement,1008.0,SIMAR PUB,Bon de commandes,Acquisition de fournitures de bureau,Siege,Investissement
3492,DIB144/2015/90300,2015,2015-05-13 00:00:00,Achat de fournitures de bureau,Engagement,5880.0,Groupement Africain de Négoce (GAN) ,Bon de commandes,Acquisition de fournitures de bureau,Direction régionale SIDI OTHMANE HAY HASSANI (DRSOHH),Investissement
3493,4649/2015,2015,2015-10-09 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1086.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
3494,1525/2015,2015,2015-05-19 00:00:00,Entretien et réparations des biens immobiliers									,Engagement,2820.0,MED PLO,Bon de commandes,Entretien et réparations des biens immobiliers ,Direction régionale TANGER TETOUAN (DRTT),Investissement
3495,1581/2015,2015,2015-01-12 00:00:00,Formation									,Engagement,324000.0,ED TRUST,Marché Services,Formation,Siege,Investissement
3496,1644/2015,2015,2015-05-22 00:00:00,"Achats de travaux, études et prestations de service",Engagement,515520.0,STE IKRAM SERVICE NET Narimane,Marché Services,Service,Direction régionale ORIENT (DRO),Investissement
3497,1587/2015,2015,2015-05-21 00:00:00,Réception & participation aux manifestations officielles									,Engagement,214.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
3498,1639/2015,2015,2015-03-31 00:00:00,Achats de combustibles,Engagement,6100.0,STE VIVO ENERGY MAROC S. A  (EX SHELL),Bon de commandes,Achat de combustibles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
3499,2099/2015,2015,2015-06-11 00:00:00,Réception & participation aux manifestations officielles									,Engagement,310.2,HOTEL BEL AIR,Contrat Droit Commun,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
3500,2457/2016,2016,2016-01-01 00:00:00,Voyage et déplacement									,Engagement,100000.0,DIWAN TOURS,Marché Services,Service,Siege,Investissement
3501,2143/2016,2016,2016-04-22 00:00:00,Documentation générale									,Engagement,689.0,PAPETERIE TABACS LA RUCHE,Bon de commandes,Documentation générale,Direction régionale RABAT SALE (DRRS),Investissement
3502,2416/2016,2016,2016-04-28 00:00:00,Formation									,Engagement,7200.0,IKONE CONSEIL,Contrat Droit Commun,,Siege,Investissement
3503,ENG BC 1609/2016/98100,2016,2016-06-22 00:00:00,Achat de fournitures de bureau,Engagement,18000.0,STE ENIMATEC,Bon de commandes,Fourniture de bureau,Direction régionale AGADIR (DRAG),Investissement
3504,3862/2016,2016,2016-01-01 00:00:00,Achats de combustibles,Engagement,340303.7,STE VIVO ENERGY MAROC S. A  (EX SHELL),Marché Fournitures,Achat de combustibles,Siege,Investissement
3505,1451/2016,2016,2016-03-16 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3685.0, STE AFRAH BENLAFKIH,Contrat Droit Commun,Réception et participation aux manifestations officielles,Direction régionale CHAOUIA TADLA (DRCT),Investissement
3506,1889/2016,2016,2016-03-07 00:00:00,Matériel informatique,Engagement,858000.0,FIRST INFORMATIQUE,Marché Fournitures,Acquisition de Matériel informatique,Siege,Investissement
3507,drrs 204/2016/91100,2016,2016-05-04 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,2120.0,SOCIETE PIECES AUTOS TEMARA,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale RABAT SALE (DRRS),Investissement
3508,DRRS 13/2016/91100,2016,2016-03-14 00:00:00,Réception & participation aux manifestations officielles									,Engagement,1540.0,SUPER-FLEURS ,Bon de commandes,Réception et participation aux manifestations officielles,Direction régionale RABAT SALE (DRRS),Investissement
3509,2714/2016,2016,2016-01-01 00:00:00,"Achats de travaux, études et prestations de service",Engagement,958328.54,United Strong Service,Marché Services,Service,Siege,Investissement
3510,4843/2013,2013,2016-06-20 00:00:00,Autres immobilisations incorporelles,Engagement,975840.0,ARCHOS TECHNOLOGY,Marché Services,SOLUTION INFORMATIQUE,Siege,Investissement
3511,ENG BC 2243/2016/98100,2016,2016-06-13 00:00:00,Maintenance des agencements & installations techniques									,Engagement,4140.0,SOUSS FOURNITURES ET BOUBINAGE INDUSTRIELLES,Bon de commandes,Maintenance,Direction régionale AGADIR (DRAG),Investissement
3512,3566/2016,2016,2016-06-13 00:00:00,Frais postaux									,Engagement,200.0,GROUPEMENT TELIO MAROC & INGENIUS,Marché Travaux,Service,Ex Siége,Investissement
3513,ENG BC 2238/2016/98100,2016,2016-04-25 00:00:00,Entretien et réparations des biens mobiliers									,Engagement,4829.79,SODISMA,Bon de commandes,Entretien et réparation des biens mobiliers,Direction régionale AGADIR (DRAG),Investissement
3514,1253/2016,2016,2016-03-29 00:00:00,Transport									,Engagement,10260.0,GM2 TOURS-TRANSPORT,Bon de commandes,Travaux de transport,Direction régionale ORIENT (DRO),Investissement
3515,8187/2015,2015,2016-03-16 00:00:00,Achat de fournitures de bureau,Engagement,120.0,DOUAA PRODUCTION,Marché Services,Service,Direction des moyens generaux,Investissement
3516,1297/2016,2016,2016-03-30 00:00:00,Réception & participation aux manifestations officielles									,Engagement,3256.0,EL ASRY BRAHIM,Bon de commandes,Réception et participation aux manifestations officielles,Siege,Investissement
3517,2462/2016,2016,2016-05-02 00:00:00,Maintenance des agencements & installations techniques									,Engagement,190080.0,UNIFORCE INFORMATIQUE,Marché Services,Service,Direction des achats et de la logistique (DAL),Investissement
3518,2394/2016,2016,2016-04-28 00:00:00,Achat de fournitures de bureau,Engagement,486.0,EQUIPEMENT BLKACEM,Bon de commandes,Fourniture de bureau,Direction régionale RABAT SALE (DRRS),Investissement
